Survived,Pclass,Sex,AgeGroup,Relatives,EqualFreq,Embarked
1,2,female,Adult,Few,3,S
1,2,female,Youth,Few,3,S
0,3,male,NK,Few,3,S
0,3,male,NK,Few,3,S
0,3,female,Adult,Few,3,S
0,3,male,Youth,Few,3,S
1,3,female,Adult,Few,3,S
0,3,male,Youth,Few,3,S
1,3,male,Child,Few,3,S
1,3,female,Adult,Few,3,S
0,3,male,Adult,Few,3,S
0,3,male,Adult,Many,3,S
1,3,male,Baby,Many,3,S
0,2,female,Adult,Few,3,S
0,2,male,Adult,Few,3,S
1,2,female,Adult,None,3,S
0,2,male,Adult,Few,3,S
0,2,male,Adult,Few,3,S
1,2,female,Adult,Many,3,S
0,3,male,Child,Many,3,S
0,3,female,Child,Many,3,S
0,3,female,Child,Many,3,S
0,3,female,Adult,Many,3,S
0,3,male,NK,Few,4,C
1,3,female,Child,Few,4,S
1,3,female,NK,Few,4,C
1,3,female,NK,Few,4,C
0,3,male,Adult,None,4,S
1,2,female,Adult,Few,4,S
1,2,female,Youth,Few,4,S
1,2,female,Child,Few,4,S
1,2,female,Adult,Many,4,S
1,3,male,NK,Few,4,Q
1,3,female,NK,Few,4,Q
0,3,male,NK,Many,4,S
0,3,female,NK,Many,4,S
0,2,male,Adult,Few,4,C
1,2,female,Adult,Few,4,C
1,3,female,NK,Few,4,Q
0,3,female,Child,Few,4,S
0,3,male,NK,None,4,Q
0,3,male,Youth,Few,4,S
0,3,male,Adult,Few,4,S
0,3,male,NK,Few,4,Q
0,3,female,Adult,Few,4,S
0,3,male,Adult,None,4,S
0,3,male,NK,Many,4,S
0,3,female,NK,Many,4,S
0,3,female,NK,Many,4,S
0,3,female,NK,Many,4,S
0,1,male,Adult,None,4,S
0,1,male,NK,None,4,S
1,1,female,Adult,None,4,S
1,1,female,Adult,None,4,S
0,2,male,Adult,None,4,S
1,2,female,Adult,Few,4,S
0,2,male,Adult,Few,4,S
1,2,female,Adult,Few,4,S
0,2,male,Adult,Few,4,S
1,2,male,Child,Few,4,S
0,2,male,Adult,Few,4,S
0,2,male,Adult,Few,4,S
1,2,female,Adult,Few,4,S
0,1,male,NK,None,4,S
0,2,female,Adult,Few,4,S
1,2,female,Youth,Few,4,S
1,2,male,Child,Few,4,S
0,2,male,Adult,None,4,S
1,2,female,Adult,Few,4,S
1,2,female,Youth,None,4,S
1,2,female,Adult,Few,4,S
1,2,female,Adult,Few,4,S
1,2,female,Adult,Few,4,S
1,2,female,Child,Few,4,S
1,2,male,Adult,Few,4,S
0,1,male,Senior,None,4,S
1,2,female,Youth,Few,4,S
0,2,male,Adult,None,4,S
0,2,male,Adult,None,4,S
0,2,male,Adult,Few,4,S
0,2,male,Adult,None,4,S
0,2,male,Adult,Few,4,S
0,2,male,Youth,None,4,S
0,2,female,Adult,Few,4,S
1,2,female,Adult,Few,4,S
1,2,female,Child,Few,4,S
0,2,male,Adult,Few,4,S
1,2,female,Adult,Few,4,S
1,2,female,Child,Few,4,S
0,2,male,Adult,Few,4,S
1,2,female,Adult,Few,4,S
1,1,female,Youth,Few,4,S
1,1,male,Adult,None,4,S
1,1,male,Adult,None,4,S
1,1,male,Adult,None,4,S
1,1,male,Adult,None,4,S
1,1,female,Adult,None,4,S
1,1,male,Adult,None,4,S
0,1,male,Senior,None,4,S
1,1,male,Adult,None,4,S
1,1,male,Adult,None,4,S
0,1,male,Senior,None,4,S
1,1,male,Adult,None,4,S
0,1,male,Adult,None,4,S
1,1,male,NK,None,4,S
0,1,male,Adult,None,4,S
0,1,male,Senior,None,4,S
1,1,male,Adult,None,4,C
0,1,male,Adult,None,4,S
0,1,male,NK,None,4,S
1,1,male,Adult,None,4,S
0,2,male,Adult,Few,4,S
1,2,female,Youth,Many,4,S
0,1,male,Adult,None,4,C
0,1,male,NK,None,4,C
1,1,female,Adult,None,4,C
0,1,male,NK,None,4,C
0,2,male,Adult,Few,4,C
1,2,female,Child,Many,4,S
0,2,male,Adult,Many,4,S
0,1,male,Adult,None,4,C
1,2,female,Adult,Many,4,S
0,3,male,Child,Many,4,S
0,3,female,Adult,Many,4,S
0,3,male,Adult,Many,4,S
0,3,female,Child,Many,4,S
0,3,female,Child,Many,4,S
0,3,male,Child,Many,4,S
0,1,male,Adult,None,4,S
0,1,female,Adult,None,4,C
1,2,male,Baby,Few,4,S
1,2,female,Youth,Few,4,S
0,3,male,Child,Many,4,Q
0,3,male,Child,Many,4,Q
0,3,male,Child,Many,4,Q
0,3,male,Child,Many,4,Q
0,3,female,Adult,Many,4,Q
0,1,male,Adult,Few,4,C
0,1,male,Adult,None,4,C
1,1,male,NK,None,4,C
1,2,female,Adult,Few,4,S
1,1,male,Senior,None,4,S
1,1,male,NK,None,4,S
0,1,male,Adult,None,4,S
1,1,female,Youth,None,4,S
1,1,male,Adult,None,4,C
1,2,female,Youth,Few,4,C
0,2,male,Adult,Few,4,C
1,1,male,NK,None,4,S
1,1,male,Adult,None,4,S
0,1,male,Adult,None,4,S
1,1,male,Adult,None,4,S
1,1,male,Adult,None,4,C
0,1,male,Adult,None,4,C
0,1,male,NK,None,4,C
1,1,male,Adult,None,4,C
0,1,male,NK,None,4,S
1,1,female,Adult,None,4,C
0,3,male,Adult,Many,4,S
0,3,female,Child,Many,4,S
0,3,female,Child,Many,4,S
0,3,female,Child,Many,4,S
0,3,female,Adult,Many,4,S
0,3,female,Child,Many,4,S
0,3,male,Child,Many,4,S
1,3,female,Adult,Many,4,S
0,3,male,Child,Many,4,S
1,3,female,Child,Many,4,S
1,3,male,Child,Many,4,S
0,1,male,Senior,None,4,S
1,2,female,Adult,Few,4,S
1,2,female,NK,None,4,S
1,2,female,Child,Few,4,S
0,2,male,Adult,Few,4,S
0,1,male,Senior,None,4,S
0,1,male,Adult,None,4,S
0,3,male,Youth,Many,4,S
0,3,female,Child,Many,4,S
0,3,female,Youth,Many,4,S
0,3,female,Adult,Many,4,S
0,1,male,Senior,None,4,C
0,1,male,NK,None,4,S
1,1,male,Adult,None,4,S
1,1,male,NK,None,4,S
0,1,male,Adult,None,4,S
1,1,male,Adult,None,4,C
0,2,male,Youth,Few,4,S
1,2,male,Child,Few,4,S
0,2,male,Adult,Few,4,C
1,2,male,Baby,Few,4,C
0,1,male,Adult,None,4,S
1,2,male,Baby,Many,4,S
1,2,female,Child,Many,4,S
1,2,female,Adult,Few,4,S
0,2,male,Adult,Few,4,S
1,1,female,Youth,Few,4,S
1,1,female,Adult,Few,4,C
0,1,male,NK,None,4,C
0,3,male,Child,Many,4,S
0,3,male,Baby,Many,4,S
0,3,male,Youth,Many,4,S
0,3,female,Adult,Many,4,S
0,3,male,Youth,Many,4,S
0,3,male,Child,Many,4,S
0,1,male,Adult,None,5,C
1,2,female,Child,Many,5,C
1,2,female,Youth,Many,5,C
0,2,male,Adult,Many,5,C
0,1,male,NK,None,5,S
0,3,male,Child,Many,5,S
0,3,female,Youth,Many,5,S
0,3,male,Baby,Many,5,S
0,3,male,Child,Many,5,S
0,3,female,Adult,Many,5,S
0,3,male,Youth,Many,5,S
0,1,male,Adult,None,5,S
1,1,female,Youth,Few,5,C
0,1,male,Senior,None,5,C
1,1,female,Youth,None,5,C
0,1,male,NK,None,5,S
0,1,male,Adult,None,5,S
1,1,female,Adult,Few,5,S
0,1,male,Adult,None,5,S
1,1,female,NK,Few,5,S
0,1,male,Adult,Few,5,S
0,1,male,Adult,None,5,S
1,1,female,Adult,Few,5,S
0,1,male,NK,None,5,S
1,1,female,NK,Few,5,S
0,1,male,Adult,Few,5,S
1,1,male,Adult,Few,5,S
1,1,male,Adult,Few,5,S
1,1,male,Adult,Few,5,S
1,1,female,Adult,Few,5,S
1,1,female,Adult,Few,5,S
0,1,male,Adult,Few,5,S
1,1,male,Adult,Few,5,S
0,1,male,Youth,Few,5,S
1,1,female,Adult,Few,5,S
1,1,female,NK,Few,5,S
1,1,female,Youth,Few,5,S
1,1,male,Adult,Few,5,C
0,1,male,Adult,Few,5,S
1,1,female,Adult,Few,5,S
1,3,male,Adult,None,5,S
0,3,male,Adult,None,5,S
1,3,male,Adult,None,5,S
1,3,male,NK,None,5,S
1,3,male,NK,None,5,S
0,3,male,NK,None,5,S
1,3,male,Adult,None,5,S
1,1,female,Adult,None,5,C
1,1,male,Adult,Few,5,C
1,1,male,Adult,Few,5,S
1,1,female,Youth,Few,5,S
1,1,female,Youth,Few,5,C
1,1,female,Adult,Few,5,C
1,1,female,Adult,Few,5,C
0,1,male,Adult,Few,5,S
0,1,male,Adult,Few,5,C
0,1,male,Senior,Few,5,C
1,1,male,Youth,Few,5,C
1,2,female,Youth,Many,5,S
1,2,female,Adult,Many,5,S
1,1,female,Youth,Few,5,S
0,1,male,Adult,Few,5,S
1,1,female,Youth,None,5,C
1,1,female,Youth,None,5,C
0,3,male,NK,Many,5,S
0,3,female,NK,Many,5,S
0,3,male,NK,Many,5,S
0,3,male,NK,Many,5,S
0,3,female,NK,Many,5,S
0,3,male,NK,Many,5,S
0,3,female,NK,Many,5,S
1,1,female,Adult,Few,5,S
0,1,male,Senior,Few,5,S
1,1,female,Adult,Few,5,C
0,2,male,Youth,None,5,S
0,2,male,Youth,Few,5,S
0,2,male,Youth,None,5,S
0,2,male,Youth,Few,5,S
0,2,male,Adult,Few,5,S
1,1,female,Adult,Few,5,C
1,1,female,Adult,None,5,C
1,1,female,Adult,Few,5,C
1,1,male,Adult,Few,5,C
1,1,male,Adult,None,5,C
0,1,male,Youth,Few,5,S
0,1,male,Adult,Few,5,S
1,1,female,Senior,Few,5,S
1,1,female,Youth,None,5,S
1,1,female,Adult,Few,5,S
1,1,female,Adult,Few,5,C
1,1,female,Adult,Few,5,C
1,1,female,Adult,None,5,S
0,1,male,Adult,Few,5,S
0,1,male,Youth,None,5,C
1,1,female,NK,None,5,C
1,1,male,Adult,Few,5,C
0,1,male,Adult,None,5,C
0,1,male,Adult,Few,5,S
1,1,female,Adult,Few,5,S
1,1,female,Youth,Few,5,S
1,1,male,Child,Few,5,S
0,1,male,Adult,Few,5,C
1,1,female,NK,Few,5,C
1,1,female,Youth,None,5,C
1,1,female,Adult,Few,5,C
1,1,female,Adult,Few,5,C
0,1,male,Adult,Few,5,S
1,1,female,Adult,Few,5,S
1,1,female,Adult,None,5,S
1,1,female,Youth,None,5,S
1,1,female,Adult,None,5,S
1,1,male,Adult,Few,5,C
1,1,female,NK,Few,5,C
1,1,male,Adult,Few,5,S
0,1,male,Adult,Few,5,Q
1,1,female,Adult,Few,5,Q
1,1,female,Adult,Few,5,S
1,1,female,Youth,Few,5,C
1,1,male,Adult,Few,5,C
1,1,female,Adult,None,5,S
1,1,female,Adult,Few,5,S
1,1,female,Adult,None,5,C
0,1,male,Adult,Few,5,C
1,1,female,Youth,Few,5,C
0,1,male,Youth,Few,5,C
1,1,female,NK,None,5,C
1,1,male,Youth,Few,5,C
1,1,female,Adult,Few,5,C
0,1,male,Adult,Few,5,C
1,1,female,Adult,Few,5,C
1,1,female,Youth,Few,5,C
0,1,male,Adult,Few,5,C
1,1,male,Adult,Many,5,S
1,1,female,Youth,Many,5,S
1,1,female,Adult,Many,5,S
1,1,male,Child,Many,5,S
1,1,female,NK,Few,5,S
1,1,male,Adult,Few,5,S
1,1,female,Adult,Few,5,C
1,1,female,Adult,None,5,C
1,1,female,Adult,None,5,S
1,1,female,Adult,None,5,C
0,1,male,Youth,None,5,C
