% 1. Title: Boston Housing Data
% 
% 2. Sources:
%    (a) Origin:  This dataset was taken from the StatLib library which is
%                 maintained at Carnegie Mellon University.
%    (b) Creator:  Harrison, D. and Rubinfeld, D.L. 'Hedonic prices and the 
%                  demand for clean air', J. Environ. Economics & Management,
%                  vol.5, 81-102, 1978.
%    (c) Date: July 7, 1993
% 
% 3. Past Usage:
%    -   Used in Belsley, Kuh & Welsch, 'Regression diagnostics ...', Wiley, 
%        1980.   N.B. Various transformations are used in the table on
%        pages 244-261.
%     -  Quinlan,R. (1993). Combining Instance-Based and Model-Based Learning.
%        In Proceedings on the Tenth International Conference of Machine 
%        Learning, 236-243, University of Massachusetts, Amherst. Morgan
%        Kaufmann.
% 
% 4. Relevant Information:
% 
%    Concerns housing values in suburbs of Boston.
% 
% 5. Number of Instances: 513
% 
% 6. Number of Attributes: 13 continuous attributes (including "class"
%                          attribute "MEDV"), 1 binary-valued attribute.
% 
% 7. Attribute Information:
% 
%     1. CRIM      per capita crime rate by town
%     2. ZN        proportion of residential land zoned for lots over 
%                  25,000 sq.ft.
%     3. INDUS     proportion of non-retail business acres per town
%     4. CHAS      Charles River dummy variable (= 1 if tract bounds 
%                  river; 0 otherwise)
%     5. NOX       nitric oxides concentration (parts per 10 million)
%     6. RM        average number of rooms per dwelling
%     7. AGE       proportion of owner-occupied units built prior to 1940
%     8. DIS       weighted distances to five Boston employment centres
%     9. RAD       index of accessibility to radial highways
%     10. TAX      full-value property-tax rate per $10,000
%     11. PTRATIO  pupil-teacher ratio by town
%     12. B        1000(Bk - 0.63)^2 where Bk is the proportion of blacks 
%                  by town
%     13. LSTAT    % lower status of the population
%     14. MEDV     Median value of owner-occupied homes in $1000's
% 
% 8. Missing Attribute Values:  None.
% 

@relation 'housing'
@attribute CRIM real
@attribute ZN real
@attribute INDUS real
@attribute CHAS { 0, 1}
@attribute NOX real
@attribute RM real
@attribute AGE real
@attribute DIS real
@attribute RAD real
@attribute TAX real
@attribute PTRATIO real
@attribute B real
@attribute LSTAT real
@attribute class real
@data
1.34179,0,9.44,0,0.524,7.87,98.1,3.7979,4,307,21,376.57,21.02,13.6
0.88204,0,9.64,0,0.524,8.765,89.2,4.0123,4,307,21,392.53,13.83,19.6
1.30247,0,9.14,0,0.524,8.642,91.7,3.9769,4,307,21,396.9,18.72,15.2
1.06843,0,9.14,0,0.524,8.613,100,4.0952,4,307,21,394.54,19.88,14.5
0.76026,0,9.34,0,0.524,8.024,94.1,4.3996,4,307,21,394.33,16.3,15.6
0.91054,0,9.94,0,0.524,8.299,85.7,4.4546,4,307,21,303.42,16.51,13.9
0.69191,0,9.54,0,0.524,8.213,90.3,4.682,4,307,21,376.88,14.81,16.6
0.98577,0,9.14,0,0.524,8.547,88.8,4.4534,4,307,21,306.38,17.28,14.8
0.86299,0,9.14,0,0.524,9.395,94.4,4.4547,4,307,21,387.94,12.8,18.4
1.08245,0,9.24,0,0.524,9.474,87.3,4.239,4,307,21,380.23,11.98,21
1.16081,0,10.04,0,0.524,8.213,94.1,4.233,4,307,21,360.17,22.6,12.7
1.41472,0,9.54,0,0.524,8.972,100,4.175,4,307,21,376.73,13.04,14.5
1.45799,0,9.94,0,0.524,8.05,82,3.99,4,307,21,232.6,27.71,13.2
1.18172,0,9.64,0,0.524,8.301,95,3.7872,4,307,21,358.77,18.35,13.1
1.69282,0,9.44,0,0.524,8.696,96.9,3.7598,4,307,21,248.31,20.34,13.5
0.15417,0,7.36,0,0.524,8.233,68.2,3.3603,5,279,19.2,396.9,9.68,18.9
0.17744,0,7.56,0,0.524,7.941,61.4,3.3779,5,279,19.2,377.56,11.41,20
0.11014,0,7.06,0,0.524,8.45,41.5,3.9342,5,279,19.2,396.9,8.77,21
0.25505,0,7.16,0,0.524,7.966,30.2,3.8473,5,279,19.2,393.43,10.13,24.7
0.02763,75,4.35,0,0.524,9.395,21.8,5.4011,3,252,18.3,395.63,4.32,30.8
0.05359,75,4.45,0,0.524,9.124,15.8,5.4011,3,252,18.3,395.62,1.98,34.9
0.21744,0,8.71,0,0.524,9.17,2.9,5.7209,3,233,17.9,385.41,4.84,26.6
0.1615,0,8.31,0,0.524,8.869,6.6,5.7209,3,233,17.9,383.37,5.81,25.3
0.16936,0,8.51,0,0.524,9.011,6.5,5.7209,3,233,17.9,394.46,7.44,24.7
0.18269,0,8.71,0,0.524,9.069,40,5.7209,3,233,17.9,389.39,9.55,21.2
0.18142,0,8.81,0,0.524,7.882,33.8,5.1004,3,233,17.9,396.9,10.21,19.3
0.25836,0,8.11,0,0.524,8.586,33.3,5.1004,3,233,17.9,396.9,14.15,20
0.25927,0,8.91,0,0.524,8.03,85.5,5.6894,3,233,17.9,392.74,18.8,16.6
0.30387,0,8.71,0,0.524,7.599,95.3,5.87,3,233,17.9,396.9,30.81,14.4
0.26977,0,8.71,0,0.524,7.902,62,6.0877,3,233,17.9,396.9,16.2,19.4
0.09873,21,6.94,0,0.524,8.263,45.7,6.8147,4,243,16.8,395.56,13.45,19.7
0.07337,21,7.34,0,0.524,8.815,63,6.8147,4,243,16.8,393.97,9.43,20.5
0.0736,21,7.24,0,0.524,9.011,21.1,6.8147,4,243,16.8,396.9,5.28,25
0.08981,21,6.84,0,0.524,8.098,21.4,6.8147,4,243,16.8,396.9,8.43,23.4
0.0336,75,5.2,0,0.524,8.188,47.6,7.3197,3,469,21.1,396.9,14.8,18.9
0.02311,90,2.62,0,0.524,9.749,21.9,8.6966,5,226,17.9,395.93,4.81,35.4
0.05055,85,1.94,0,0.524,8.883,35.7,9.1876,2,313,17.3,396.9,5.77,24.7
0.09432,100,3.22,0,0.524,9.816,40.5,8.3248,5,256,15.1,392.9,3.95,31.6
0.16445,25,6.33,0,0.524,8.145,29.2,7.8148,8,284,19.7,390.68,6.86,23.3
0.11328,25,6.43,0,0.524,8.127,47.2,6.932,8,284,19.7,396.9,9.22,19.6
0.23932,25,6.43,0,0.524,8.741,66.2,7.2254,8,284,19.7,395.11,13.15,18.7
0.24171,25,6.53,0,0.524,8.066,93.4,6.8185,8,284,19.7,378.08,14.44,16
0.13027,25,6.83,0,0.524,8.656,67.8,7.2255,8,284,19.7,396.9,6.73,22.2
0.2065,25,6.33,0,0.524,9.362,43.4,7.9809,8,284,19.7,395.58,9.5,25
0.08951,17.5,3.08,0,0.524,10.104,59.5,9.2229,3,216,18.6,393.24,8.05,33
0.03584,80,5.37,0,0.524,9.19,17.8,6.6115,4,337,16.1,396.9,4.67,23.5
0.10379,80,4.67,0,0.524,8.687,31.1,6.6115,4,337,16.1,396.9,10.24,19.4
0.09789,12.5,7.87,0,0.524,8.378,21.4,6.498,4,345,18.9,396.21,8.1,22
0.15554,12.5,7.87,0,0.524,7.594,36.8,6.498,4,345,18.9,396.9,13.09,17.4
0.16816,12.5,7.47,0,0.524,8.185,33,6.498,4,345,18.9,396.9,8.79,20.9
0.08826,0,12.41,0,0.524,9.417,6.6,5.2873,4,305,19.2,383.73,6.72,24.2
0.24876,0,12.81,0,0.524,8.161,17.5,5.2873,4,305,19.2,376.94,9.88,21.7
0.11164,0,11.91,0,0.524,8.065,7.8,5.2873,4,305,19.2,390.91,5.52,22.8
0.24539,0,12.11,0,0.524,8.445,6.2,5.2873,4,305,19.2,377.17,7.54,23.4
0.11896,0,14.73,0,0.524,8.573,6,4.2515,5,398,18.7,394.92,6.78,24.1
0.15512,0,14.03,0,0.524,8.286,45,4.5026,5,398,18.7,383.23,8.94,21.4
0.15153,0,13.93,0,0.524,8.579,74.5,4.0522,5,398,18.7,373.66,11.97,20
0.08707,0,14.03,0,0.524,8.54,45.8,4.0905,5,398,18.7,386.96,10.27,20.8
0.09646,0,13.93,0,0.524,9.232,53.7,5.0141,5,398,18.7,386.4,12.34,21.2
0.12387,0,14.43,0,0.524,7.974,36.6,4.5026,5,398,18.7,396.06,9.1,20.3
0.13113,25,6.26,0,0.524,9.227,33.5,5.4007,4,281,19,396.9,5.29,28
0.12462,25,6.26,0,0.524,9.619,70.4,5.4007,4,281,19,395.63,7.22,23.9
0.09659,25,5.96,0,0.524,9.202,32.2,5.4007,4,281,19,396.9,6.72,24.8
0.12551,25,6.16,0,0.524,8.967,46.7,5.4007,4,281,19,390.64,7.51,22.9
0.12059,0,6.09,0,0.524,9.289,48,4.7794,3,247,18.5,396.9,9.62,23.9
0.07735,0,5.89,0,0.524,8.73,56.1,4.4377,3,247,18.5,392.3,6.53,26.6
0.14188,0,5.49,0,0.524,8.615,45.1,4.4272,3,247,18.5,395.99,12.86,22.5
0.07151,0,6.19,0,0.524,8.421,56.8,3.7476,3,247,18.5,395.15,8.44,22.2
0.0666,0,5.11,0,0.524,9.807,86.3,3.4217,2,270,17.8,396.9,5.5,23.6
0.09302,0,4.71,0,0.524,9.879,63.1,3.4145,2,270,17.8,396.06,5.7,28.7
0.08684,0,4.91,0,0.524,8.917,66.1,3.0923,2,270,17.8,392.18,8.81,22.6
0.12932,0,5.41,0,0.524,8.405,73.9,3.0921,2,270,17.8,393.55,8.2,22
0.07203,28,16.44,0,0.524,9.442,53.6,3.6659,4,270,18.2,395.01,8.16,22.9
0.05875,28,16.14,0,0.524,8.511,28.9,3.6659,4,270,18.2,396.33,6.21,25
0.13294,28,16.64,0,0.524,8.449,77.3,3.615,4,270,18.2,396.9,10.59,20.6
0.21204,0,4.09,0,0.524,8.625,57.8,3.4952,2,276,18,357.98,6.65,28.4
0.14504,0,4.29,0,0.524,8.463,69.6,3.4952,2,276,18,391.83,11.34,21.4
0.17083,0,4.29,0,0.524,10.869,76,3.4952,2,276,18,396.9,4.21,38.7
0.12187,0,4.39,0,0.524,10.32,36.9,3.4952,2,276,18,393.53,3.57,43.8
0.1286,0,4.19,0,0.524,9.416,62.5,3.4952,2,276,18,396.9,6.19,33.2
0.17866,0,9.56,0,0.524,9.227,79.9,2.7778,5,384,20.9,394.76,9.42,27.5
0.11432,0,9.86,0,0.524,9.781,71.3,2.8561,5,384,20.9,395.58,7.67,26.5
0.22876,0,10.16,0,0.524,8.605,85.4,2.7147,5,384,20.9,70.8,10.63,18.6
0.26161,0,10.26,0,0.524,8.437,87.4,2.7147,5,384,20.9,394.47,13.44,19.3
0.1896,0,10.56,0,0.524,8.367,90,2.421,5,384,20.9,392.69,12.33,20.1
0.15262,0,10.06,0,0.524,8.551,96.7,2.1069,5,384,20.9,394.05,16.47,19.5
0.2512,0,10.26,0,0.524,8.436,91.9,2.211,5,384,20.9,395.67,18.66,19.5
0.17117,0,9.66,0,0.524,8.327,85.2,2.1224,5,384,20.9,387.69,14.09,20.4
0.17802,0,9.76,0,0.524,8.474,97.1,2.4329,5,384,20.9,395.24,12.27,19.8
0.28363,0,10.46,0,0.524,8.929,91.2,2.5451,5,384,20.9,391.23,15.55,19.4
0.15793,0,10.56,0,0.524,9.095,54.4,2.7778,5,384,20.9,393.49,13,21.7
0.12084,0,11.01,0,0.524,8.915,81.6,2.6775,6,432,17.8,395.59,10.16,22.8
0.18329,0,11.81,0,0.524,8.913,92.9,2.3534,6,432,17.8,394.95,16.21,18.8
0.25212,0,11.21,0,0.524,8.892,95.4,2.548,6,432,17.8,396.9,17.09,18.7
0.20231,0,11.81,0,0.524,8.654,84.2,2.2565,6,432,17.8,388.74,10.45,18.5
0.24134,0,11.71,0,0.524,8.428,88.2,2.4631,6,432,17.8,344.91,15.76,18.3
0.16158,0,11.51,0,0.524,8.276,72.5,2.7301,6,432,17.8,393.3,12.04,21.2
0.19098,0,11.51,0,0.524,8.521,82.6,2.7474,6,432,17.8,394.51,10.3,19.2
0.20058,0,12.01,0,0.524,8.072,73.1,2.4775,6,432,17.8,338.63,15.37,20.4
0.18476,0,11.91,0,0.524,8.331,65.2,2.7592,6,432,17.8,391.5,13.61,19.3
0.08899,0,26.65,0,0.524,7.87,69.7,2.2577,2,188,19.1,389.15,14.37,22
0.16165,0,27.35,0,0.524,8.704,84.1,2.1974,2,188,19.1,377.67,14.27,20.3
0.12299,0,27.35,0,0.524,8.661,92.9,2.0869,2,188,19.1,378.09,17.93,20.5
0.22038,0,26.95,0,0.524,8.756,97,1.9444,2,188,19.1,370.31,25.41,17.3
0.09849,0,27.35,0,0.524,8.379,95.8,2.0063,2,188,19.1,379.38,17.58,18.8
0.20902,0,27.65,0,0.524,8.886,88.4,1.9929,2,188,19.1,385.02,14.81,21.4
0.45735,0,27.65,0,0.524,8.013,95.6,1.7572,2,188,19.1,359.29,27.26,15.7
0.26915,0,22.89,0,0.524,8.393,96,1.7883,4,437,21.2,392.11,17.19,16.2
0.36543,0,23.49,0,0.524,8.431,98.8,1.8125,4,437,21.2,396.9,15.39,18
0.92125,0,22.89,0,0.524,8.137,94.7,1.9799,4,437,21.2,396.9,18.34,14.3
0.37006,0,23.59,0,0.524,8.458,98.9,2.1185,4,437,21.2,395.04,12.6,19.2
1.28294,0,22.89,0,0.524,8.526,97.7,2.271,4,437,21.2,396.9,12.26,19.6
0.63005,0,23.19,0,0.524,8.372,97.9,2.3274,4,437,21.2,385.76,11.12,23
0.38982,0,23.79,0,0.524,8.622,95.4,2.4699,4,437,21.2,388.69,15.03,18.4
1.04617,0,22.99,0,0.524,8.557,98.4,2.346,4,437,21.2,262.76,17.31,15.6
0.59778,0,23.79,0,0.524,9.035,98.2,2.1107,4,437,21.2,394.67,16.96,18.1
0.38264,0,23.49,0,0.524,8.042,93.5,1.9669,4,437,21.2,378.25,16.9,17.4
0.44233,0,23.79,0,0.524,8.654,98.4,1.8498,4,437,21.2,394.08,14.59,17.1
0.2998,0,23.09,0,0.524,8.757,98.2,1.6686,4,437,21.2,392.04,21.32,13.3
0.60452,0,22.89,0,0.524,8.351,97.9,1.6687,4,437,21.2,396.9,18.46,17.8
0.3009,0,23.89,0,0.524,8.974,93.6,1.6119,4,437,21.2,388.08,24.16,14
1.69864,0,23.29,0,0.524,7.119,100,1.4394,4,437,21.2,396.9,34.41,14.4
3.38105,0,21.28,1,0.524,7.803,100,1.3216,5,403,14.7,396.9,26.82,13.4
4.1874,0,21.18,0,0.524,7.768,100,1.4118,5,403,14.7,396.9,26.42,15.6
2.79974,0,21.58,0,0.524,7.003,97.8,1.3459,5,403,14.7,396.9,29.29,11.8
2.46934,0,21.08,0,0.524,8.13,100,1.4191,5,403,14.7,172.91,27.8,13.8
2.19505,0,20.58,0,0.524,8.228,100,1.5166,5,403,14.7,169.27,16.65,15.6
2.45862,0,21.38,0,0.524,7.626,95.7,1.4608,5,403,14.7,391.71,29.53,14.6
2.37099,0,20.98,0,0.524,8.086,93.8,1.5296,5,403,14.7,356.99,28.32,17.8
2.74397,0,21.08,0,0.524,8.097,94.9,1.5257,5,403,14.7,351.85,21.45,15.4
1.7266,0,20.68,0,0.524,8.122,97.3,1.618,5,403,14.7,372.8,14.1,21.5
1.49632,0,21.08,0,0.524,7.404,100,1.5916,5,403,14.7,341.6,13.28,19.6
1.12658,0,21.08,1,0.524,7.912,88,1.6102,5,403,14.7,343.28,12.12,15.3
2.14918,0,21.58,0,0.524,8.409,98.5,1.6232,5,403,14.7,261.95,15.79,19.4
1.41385,0,20.78,1,0.524,8.529,96,1.7494,5,403,14.7,321.02,15.12,17
3.57501,0,21.28,1,0.524,9.152,82.6,1.7455,5,403,14.7,88.01,15.02,15.6
2.48668,0,20.98,0,0.524,7.672,94,1.7364,5,403,14.7,88.63,16.14,13.1
1.31358,0,20.88,0,0.524,9.543,97.4,1.8773,5,403,14.7,363.43,4.59,41.3
1.39284,0,20.88,0,0.524,8.066,100,1.7573,5,403,14.7,353.89,6.43,24.3
1.50502,0,20.98,0,0.524,8.61,100,1.7659,5,403,14.7,364.31,7.39,23.3
1.35346,0,21.48,1,0.524,8.25,92.6,1.7984,5,403,14.7,338.92,5.5,27
1.51336,0,21.58,0,0.524,9.589,90.8,1.9709,5,403,14.7,374.43,1.73,50
1.85377,0,20.98,1,0.524,9.802,98.2,2.0407,5,403,14.7,389.61,1.92,50
1.57902,0,20.58,1,0.524,10.575,93.9,2.162,5,403,14.7,388.45,3.32,50
2.26236,0,21.58,0,0.524,8.554,91.8,2.422,5,403,14.7,395.11,11.64,22.7
2.974,0,20.88,0,0.524,8.201,93,2.2834,5,403,14.7,240.16,9.81,25
2.09019,0,20.78,0,0.524,10.529,96.2,2.0459,5,403,14.7,369.3,3.7,50
1.81028,0,21.08,0,0.524,8.477,79.2,2.4259,5,403,14.7,227.61,12.14,23.8
2.3204,0,21.08,0,0.524,9.219,96.1,2.1,5,403,14.7,297.09,11.1,23.8
2.47953,0,20.68,0,0.524,8.902,95.2,2.2625,5,403,14.7,330.04,11.32,22.3
1.23742,0,20.58,0,0.524,8.875,94.6,2.4259,5,403,14.7,292.29,14.43,17.4
2.3939,0,20.88,0,0.524,8.58,97.3,2.3887,5,403,14.7,348.13,12.03,19.1
0.21914,0,5.55,0,0.524,7.772,88.5,2.5961,5,296,16.6,396.9,14.69,23.1
0.15178,0,5.95,0,0.524,9.016,84.1,2.6463,5,296,16.6,395.5,9.04,23.6
0.09447,0,5.55,0,0.524,7.859,68.7,2.7019,5,296,16.6,393.23,9.64,22.6
0.10664,0,5.35,0,0.524,8.546,33.1,3.1323,5,296,16.6,390.96,5.33,29.4
0.07022,0,5.95,0,0.524,8.52,47.2,3.5549,5,296,16.6,393.23,10.11,23.2
0.07425,0,5.95,0,0.524,8.515,73.4,3.3175,5,296,16.6,395.6,6.29,24.6
0.06642,0,5.85,0,0.524,9.76,74.4,2.9153,5,296,16.6,391.27,6.92,29.9
0.0778,0,3.66,0,0.524,9.28,58.4,2.829,3,193,17.8,396.9,5.04,37.2
0.14588,0,4.06,0,0.524,9.765,83.3,2.741,3,193,17.8,395.56,7.56,39.8
0.07888,0,4.16,0,0.524,8.144,62.2,2.5979,3,193,17.8,396.9,9.45,36.2
0.14103,0,3.66,0,0.524,10.055,92.2,2.7006,3,193,17.8,394.12,4.82,37.9
0.11008,0,4.46,0,0.524,8.963,95.6,2.847,3,193,17.8,396.9,5.68,32.5
0.12308,0,3.96,0,0.524,8.404,89.8,2.9879,3,193,17.8,391,13.98,26.4
0.06047,0,3.86,0,0.524,9.053,68.8,3.2797,3,193,17.8,387.11,13.15,29.6
0.09602,0,4.06,0,0.524,10.631,53.6,3.1992,3,193,17.8,392.63,4.45,50
0.13875,45,5.24,0,0.524,9.682,41.1,3.7886,5,398,15.2,393.87,6.68,32
0.14579,45,4.64,0,0.524,8.956,29.1,4.5667,5,398,15.2,382.84,4.56,29.8
0.1537,45,5.14,0,0.524,10.185,38.9,4.5667,5,398,15.2,396.9,5.39,34.9
0.10068,45,5.14,0,0.524,9.451,21.5,6.4798,5,398,15.2,377.68,5.1,37
0.10911,45,5.34,0,0.524,9.439,30.8,6.4798,5,398,15.2,389.71,4.69,30.5
0.14664,45,5.34,0,0.524,10.078,26.3,6.4798,5,398,15.2,390.49,2.87,36.4
0.08187,60,4.13,0,0.524,9.4,9.9,6.2196,1,265,15.6,393.37,5.03,31.1
0.05439,60,4.83,0,0.524,8.604,18.8,6.2196,1,265,15.6,376.7,4.38,29.1
0.05381,80,1.56,0,0.524,9.875,32,5.6484,4,255,14.4,394.23,2.97,50
0.07011,80,3.32,0,0.524,9.787,34.1,7.309,2,329,12.6,396.9,4.08,33.3
0.07666,80,3.52,0,0.524,9.407,36.6,7.309,2,329,12.6,354.31,8.61,30.3
0.03768,80,2.52,0,0.524,9.374,38.3,7.309,2,329,12.6,392.2,6.62,34.6
0.0315,95,2.97,0,0.524,9.475,15.3,7.6534,3,402,17,396.9,4.56,34.9
0.04778,95,2.57,0,0.524,9.135,13.9,7.6534,3,402,17,384.3,4.45,32.9
0.10445,82.5,3.53,0,0.524,8.962,38.4,6.27,2,348,14.7,393.77,7.43,24.1
0.06177,82.5,4.03,0,0.524,9.71,15.7,6.27,2,348,14.7,395.38,3.11,42.3
0.0551,95,3.68,0,0.524,10.253,33.2,5.118,4,224,14.7,392.78,3.81,48.5
0.08009,95,3.98,0,0.524,10.034,31.9,5.118,4,224,14.7,390.55,2.88,50
0.17642,0,12.49,0,0.524,8.891,22.3,3.9454,4,277,18.6,396.9,10.87,22.6
0.31969,0,11.79,0,0.524,8.326,52.5,4.3549,4,277,18.6,394.87,10.97,24.4
0.34199,0,11.59,0,0.524,8.783,72.7,4.3549,4,277,18.6,389.43,18.06,22.5
0.14587,0,12.59,1,0.524,8.164,59.1,4.2392,4,277,18.6,381.32,14.66,24.4
0.43571,0,11.69,1,0.524,7.644,100,3.875,4,277,18.6,396.9,23.09,20
0.17446,0,12.49,1,0.524,8.46,92.1,3.8771,4,277,18.6,393.25,17.27,21.7
0.44578,0,12.59,1,0.524,7.504,88.6,3.665,4,277,18.6,395.24,23.98,19.3
0.30719,0,12.59,1,0.524,8.607,53.8,3.6526,4,277,18.6,390.94,16.03,22.4
0.22052,0,12.39,0,0.524,8.375,32.3,3.9454,4,277,18.6,385.81,9.38,28.1
0.36955,0,11.89,0,0.524,7.812,9.8,3.5875,4,277,18.6,348.93,29.55,23.7
0.25802,0,12.39,0,0.524,8.182,42.4,3.9454,4,277,18.6,393.63,9.47,25
0.1156,0,15.69,1,0.524,8.888,56,3.1121,5,276,16.4,392.8,13.51,23.3
0.12013,0,15.49,0,0.524,9.542,85.1,3.4211,5,276,16.4,392.78,9.69,28.7
0.14069,0,15.29,1,0.524,8.551,93.8,2.8893,5,276,16.4,396.9,17.92,21.5
0.18425,0,15.69,1,0.524,8.573,92.4,3.3633,5,276,16.4,393.74,10.5,23
0.42809,0,8,1,0.524,9.551,88.5,2.8617,8,307,17.4,391.7,9.71,26.7
0.41771,0,7.2,1,0.524,8.164,91.3,3.048,8,307,17.4,395.24,21.46,21.7
0.64356,0,7.4,1,0.524,9.279,77.7,3.2721,8,307,17.4,390.39,9.93,27.5
0.6547,0,8.1,0,0.524,8.818,80.8,3.2721,8,307,17.4,396.9,7.6,30.1
0.37533,0,7.4,0,0.524,10.966,78.3,2.8944,8,307,17.4,385.05,4.14,44.8
0.52693,0,7.6,0,0.524,11.425,83,2.8944,8,307,17.4,382,4.63,50
0.42214,0,7.6,0,0.524,10.24,86.5,3.2157,8,307,17.4,387.38,3.13,37.6
0.41238,0,7.7,0,0.524,9.263,79.9,3.2157,8,307,17.4,372.08,6.36,31.6
0.34819,0,7.6,0,0.524,10.686,17,3.3751,8,307,17.4,377.51,3.92,46.7
0.50178,0,8.2,0,0.524,8.952,21.4,3.3751,8,307,17.4,380.34,3.76,31.5
0.627,0,7.3,0,0.524,8.781,68.1,3.6715,8,307,17.4,378.35,11.65,24.3
0.51296,0,7.9,0,0.524,9.412,76.9,3.6715,8,307,17.4,376.14,5.25,31.7
0.61529,0,7.4,0,0.524,11.237,73.3,3.8384,8,307,17.4,385.91,2.47,41.7
0.41147,0,7.6,0,0.524,10.347,70.4,3.6519,8,307,17.4,378.95,3.95,48.3
0.44791,0,7.7,1,0.524,8.926,66.5,3.6519,8,307,17.4,360.2,8.05,29
0.37045,0,8.1,0,0.524,8.486,61.5,3.6519,8,307,17.4,376.75,10.88,24
0.61058,0,8,1,0.524,9.131,76.5,4.148,8,307,17.4,388.45,9.54,25.1
0.59183,0,7.8,0,0.524,9.658,71.6,4.148,8,307,17.4,390.07,4.73,31.5
0.16244,30,5.93,0,0.524,8.781,18.5,6.1899,6,300,16.6,379.41,6.36,23.7
0.11252,30,6.03,0,0.524,9.106,42.2,6.1899,6,300,16.6,383.78,7.37,23.3
0.17329,30,6.93,0,0.524,9.397,54.3,6.3361,6,300,16.6,391.25,11.38,22
0.14612,30,6.73,0,0.524,8.395,65.1,6.3361,6,300,16.6,394.62,12.4,20.1
0.1029,30,6.03,0,0.524,9.358,52.9,7.0355,6,300,16.6,372.75,11.22,22.2
