@relation Lab5_EmployeesSalaryOriginalOutlier-weka.filters.unsupervised.attribute.NumericToNominal-R7-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.unsupervised.attribute.AddID-Cfirst-NID_predicted-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R18-19_predicted

@attribute ID numeric
@attribute Country=China numeric
@attribute Country=U.S.A. numeric
@attribute Country=Germany numeric
@attribute Country=Mexico numeric
@attribute Country=Japan numeric
@attribute Branch=1 numeric
@attribute Branch=2 numeric
@attribute Branch=3 numeric
@attribute Branch=4 numeric
@attribute Branch=6 numeric
@attribute Currency=CHY numeric
@attribute Currency=USD numeric
@attribute Currency=EUR numeric
@attribute Currency=MXD numeric
@attribute Currency=INR numeric
@attribute Salary numeric
@attribute 'prediction margin' numeric
@attribute 'predicted Outlier' {No,Yes}
@attribute Outlier {No,Yes}

@data
103,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,24000,0.126054,No,No
104,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,32000999,0.353723,Yes,Yes
105,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,27500,0.169287,No,No
106,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,190000,0.136999,No,No
107,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,18000,0.103805,No,No
108,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,46000,0.064561,No,No
109,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,18000,0.126488,No,No
110,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,150000,0.160298,No,No
111,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,28000,0.172344,No,No
112,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,56000,0.113446,No,No
113,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,46099,0.166653,No,No
114,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,240000,0.096176,No,No
115,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,51000,0.140589,No,No
116,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,44638,0.075648,No,No
117,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,70000,0.016853,No,No
118,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,600000,-0.016507,Yes,No
119,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,31000,0.121164,No,No
120,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,45800,0.149727,No,No
121,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,150500,0.134085,No,No
122,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,45000,0.075135,No,No
123,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,36400,0.15162,No,No
124,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,89000,0.00667,No,No
125,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,50056,0.111255,No,No
126,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,36000,0.118625,No,No
127,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,100000,-0.044121,Yes,No
128,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,70000,0.058273,No,No
129,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,150000,0.120045,No,No
130,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,26500,0.092482,No,No
131,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,38000,0.040441,No,No
132,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,46888,0.087221,No,No
133,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,600000,0.401759,Yes,Yes
134,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,69000,0.054733,No,No
135,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,46000,0.082378,No,No
136,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,50000,0.051542,No,No
137,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,70000,0.04176,No,No
138,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,39200,0.081714,No,No
139,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,95000,-0.04303,Yes,No
140,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,68000,0.036036,No,No
141,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,31000,0.075809,No,No
142,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,60000,0.058785,No,No
143,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,32000,-0.078545,Yes,No
144,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,150000,0.052942,No,No
145,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,28000,0.034309,No,No
146,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,29000,0.048122,No,No
147,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,19999,0.339612,Yes,Yes
148,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,42500,0.031493,No,No
149,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,180000,-0.011893,Yes,No
150,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,900000,0.171516,Yes,Yes
